Title,Author,Average rating,Number of ratings,Number of reviews,Genres,Publish year,Number of pages,Currently reading,Want to read
"The Black River Chronicles: Level One (Black River Academy, #1)",David Tallerman,4.01,470,,"Fantasy, Young Adult, Magic, Adventure, Dungeons and Dragons, Fiction, High Fantasy",2016.0,296.0,414.0,
Edna in the Desert,Maddy Lederman,3.86,260,43.0,"Fiction, Young Adult, Contemporary, Teen, Coming Of Age",2013.0,167.0,9.0,
"Immortal Fire (Red Winter Trilogy, #3)",Annette Marie,4.61,9026,,"Fantasy, Romance, Young Adult, Mythology, Urban Fantasy, Magic, Audiobook",2017.0,367.0,648.0,
Dirty Cooking,Carley Mercedes,4.24,21,7.0,Romance,,340.0,2.0,
And Then Love Came Along...: A Second Chance At Love Romance (Love After Heartbreak And Loss Series Book 1),Janine Campbell,4.8,5,,,,,,
Dutybound,Mark Aaron Alvarez II,3.8,50,30.0,Fantasy,2021.0,358.0,8.0,
A Blessed Olive Tree: A Spiritual Journey in Twenty Short Stories,Zain Hashmi,4.02,158,91.0,"Islam, Short Stories, Religion, Spirituality, Nonfiction, Muslims",,140.0,17.0,
The Confession,Erin McCauley,3.88,98,11.0,Romance,2012.0,100.0,15.0,
"The Wide Game (Harmony, Indiana, #1)",Michael West,3.92,231,37.0,"Horror, Mystery, Paranormal, Suspense, Fantasy, Supernatural, Fiction",2003.0,269.0,6.0,
Cloaked in Fur (The Wulfkin Legacy #1),T.F. Walsh,3.9,248,107.0,"Paranormal, Romance, Fantasy, Paranormal Romance, Shapeshifters, Werewolves, Supernatural",2013.0,234.0,79.0,
"Forbid Me (The Good Ol' Boys, #2)",M. Robinson,4.02,7831,789.0,"Romance, New Adult, Contemporary Romance, Friends To Lovers, Contemporary, Second Chance, Second Chance Romance",2015.0,324.0,963.0,
Better Together in Boston,Jennifer Wilck,4.31,16,7.0,,,,,
"Poseidon’s Children (The Legacy of the Gods, #1)",Michael West,3.53,445,,"Horror, Fantasy, Mythology, Urban Fantasy, Mermaids, Fiction, Greek Mythology",2012.0,311.0,30.0,
"Forsaken (The Demon Trappers, #1)",Jana Oliver,3.99,18626,1517.0,"Young Adult, Fantasy, Paranormal, Demons, Urban Fantasy, Romance, Angels",2011.0,422.0,207.0,
Stony Creek Hero (Stony Creek #2),Taylor Berke,4.18,57,8.0,"Erotica, Contemporary, BDSM, Romance",2013.0,,3.0,
Beautiful Chaos,Alex Tully,4.12,408,,"Young Adult, Romance, Contemporary, Fiction",2016.0,344.0,,
Full Tilt Boogie (Arkadia Fast #3),Leslie Scott,4.36,14,9.0,Romance,,262.0,1.0,
The Gordonston Ladies Dog Walking Club (The Gordonston Ladies Dog Walking Club #1),Duncan Whitehead,3.42,3200,398.0,"Mystery, Fiction, Mystery Thriller, Thriller, Book Club, Cozy Mystery, Suspense",2012.0,196.0,368.0,
"The Legend of the Blue Eyes (Blue Eyes Trilogy, #1)",B. Kristin McMichael,3.85,3716,,"Fantasy, Paranormal, Young Adult, Vampires, Romance, Paranormal Romance, Supernatural",2013.0,250.0,922.0,
Viking Fire,Andrea R. Cooper,3.78,148,73.0,"Historical Romance, Romance, Historical, Historical Fiction, Ireland, Viking Romance",2013.0,186.0,3.0,
The V Girl: A Coming of Age Story,Mya Robarts,3.96,16771,1784.0,"Romance, Coming Of Age, Young Adult, Dystopia, Love, War, Fiction",2015.0,340.0,911.0,
A Brush With Fame,Melinda Hazen,3.38,74,18.0,"Romance, Contemporary Romance, Contemporary, Love Story, Realistic Fiction, Fiction, Humor",2018.0,332.0,29.0,
Makeover,Barbara Lorna Hudson,4.4,10,4.0,,,,,
"The First Pillar (Everville, #1)",Roy Huff,3.62,704,210.0,"Fantasy, Young Adult, Fiction, Science Fiction, Adventure, Paranormal, Science Fiction Fantasy",2013.0,233.0,77.0,
"Rebirth (The Keeper, #3)",O.L. Ramos,4.5,140,24.0,,,,,
Lemonade,Nina Pennacchi,3.61,3265,710.0,"Historical Romance, Historical, Dark, Romance, Dark Romance, Historical Fiction, Enemies To Lovers",2011.0,451.0,496.0,
"Demons at Deadnight (Divinicus Nex Chronicles, #1)",A. Kirk,4.11,8665,749.0,"Paranormal, Young Adult, Fantasy, Demons, Romance, Urban Fantasy, Magic",2012.0,404.0,239.0,
Casey's Courage,Neva Brown,3.7,37,6.0,"Romance, Friends To Lovers, Contemporary Romance",2013.0,223.0,2.0,
"Awakening (The Keeper, #1)",O.L. Ramos,3.82,485,78.0,"Paranormal, Vampires, Paranormal Romance, Fantasy, Young Adult, Adult, Urban Fantasy",2013.0,260.0,56.0,
"In the Eyes of Madness (Declan Peters Chronicles, #1)",Michael Pang,3.8,169,42.0,"Horror, Paranormal, Thriller",2015.0,222.0,41.0,
"Touch of Death (Touch of Death, #1)",Kelly Hashway,3.64,1131,196.0,"Young Adult, Paranormal, Mythology, Fantasy, Romance, Zombies, Greek Mythology",2012.0,235.0,27.0,
"Cinema of Shadows (Harmony, Indiana, #2)",Michael West,3.75,331,61.0,"Horror, Paranormal, Fiction, Supernatural, Ghosts",2011.0,298.0,14.0,
"Inside Out (Insider, #1)",Maria V. Snyder,3.82,25024,1931.0,"Young Adult, Dystopia, Science Fiction, Fantasy, Romance, Fiction, Teen",2010.0,320.0,328.0,
The Dictator of Britannica,A.N. Shekarnia,4.78,27,2.0,,,,,
"Two Hearts, One Stone",Leslie Scott,4.39,71,51.0,Romance,,91.0,7.0,
"The Trouble with Playing Cupid (Cupid, #1)",Tamara Philip,4.03,87,,,,,,
"Fading (Fading, #1)",E.K. Blair,4.08,11510,1274.0,"Romance, New Adult, Dark, Contemporary, Abuse, College, Contemporary Romance",2013.0,451.0,353.0,
"Mad Love (DCYE, #3)",Lynessa Layne,4.37,215,13.0,"Romance, Reverse Harem, Thriller",,,4.0,
"Behind the Hood (Behind the Lives, #1)",Marita A. Hansen,3.91,267,67.0,"Young Adult, Abuse, Dark, Romance, New Adult, Contemporary, Fiction",2011.0,356.0,12.0,
"WitchBlood (Witchblood, #1)",Emma Mills,3.93,1841,,,,,,
"Spook House (Harmony, Indiana, #3)",Michael West,3.84,268,60.0,"Horror, Halloween, Fiction, Supernatural",2012.0,308.0,22.0,
Arsen: A Broken Love Story,Mia Asher,4.12,17319,3046.0,"Romance, New Adult, Contemporary Romance, Contemporary, Adult, Emotional, Dark",2013.0,486.0,714.0,
Skull Full of Kisses,Michael West,4.18,74,11.0,"Horror, Short Stories, Collections",2009.0,212.0,7.0,
Matter of Choice,R.M. Alexander,3.69,119,45.0,"Romance, Contemporary, Second Chance, Contemporary Romance",2014.0,,25.0,
"Crazy Good (Crazy Good, #1)",Rachel Robinson,4.11,7919,929.0,"Romance, Military Fiction, Contemporary, Contemporary Romance, New Adult, Erotica, Military Romance",2014.0,457.0,371.0,
"Ultraviolet (Ultraviolet, #1)",R.J. Anderson,3.75,9632,1554.0,"Young Adult, Science Fiction, Paranormal, Fantasy, Mystery, Aliens, Romance",2011.0,316.0,145.0,
Haole Wood,Dee DeTarsio,3.57,236,46.0,"Chick Lit, Mystery, Romance, Humor, Adventure, Contemporary, Fiction",2012.0,284.0,16.0,
"Hot Lap (Arkadia Fast, #2)",Leslie Scott,4.1,29,23.0,,,,,
"Charmed Spirits (Holiday, Montana, #1)",Carrie Ann Ryan,3.89,1185,167.0,"Paranormal, Romance, Paranormal Romance, Witches, Magic, Contemporary, Fantasy",2012.0,260.0,138.0,
"Strictly Professional (Strictly Professional, #1)",Sherri Hayes,3.77,275,70.0,"Romance, Romantic Suspense, Contemporary Romance, Adult, Contemporary, Suspense, Mystery",2010.0,338.0,24.0,
"The Prisoner of Cell 25 (Michael Vey, #1)",Richard Paul Evans,4.22,49269,5922.0,"Young Adult, Science Fiction, Fantasy, Fiction, Adventure, Middle Grade, Teen",2011.0,336.0,2142.0,
Girl Three,Tracy March,3.85,54,20.0,"Mystery, Romantic Suspense, Suspense, Fiction, Romance, Mystery Thriller",2013.0,352.0,,495.0
"Playing with Fire (Skulduggery Pleasant, #2)",Derek Landy,4.29,34574,1865.0,"Fantasy, Young Adult, Fiction, Urban Fantasy, Magic, Mystery, Middle Grade",2008.0,389.0,894.0,
"The Blight of Muirwood (Legends of Muirwood, #2)",Jeff Wheeler,4.25,19692,705.0,"Fantasy, Young Adult, Fiction, Magic, Audiobook, Romance, Adventure",2011.0,453.0,2406.0,
"Introductions (The Ghost Bird, #1)",C.L. Stone,4.07,16984,1141.0,"Reverse Harem, Young Adult, Romance, Contemporary, High School, Mystery, Fiction",2012.0,206.0,1583.0,
"Greta and the Goblin King (Mylena Chronicles, #1)",Chloe Jacobs,3.58,2256,292.0,"Fantasy, Young Adult, Romance, Paranormal, Magic, Demons, Fae",2012.0,279.0,67.0,
"The Sun Dwellers (The Dwellers, #3)",David Estes,4.16,1995,190.0,"Dystopia, Young Adult, Science Fiction, Fantasy, Romance, Fiction, Post Apocalyptic",2012.0,370.0,68.0,
"The Starbirth Assignment: Shifter (Starbirth, #1)",J.M. Johnson,4.13,69,10.0,Science Fiction,2016.0,169.0,,546.0
"For Darkness Shows the Stars (For Darkness Shows the Stars, #1)",Diana Peterfreund,3.87,19112,2733.0,"Young Adult, Dystopia, Romance, Science Fiction, Fantasy, Retellings, Fiction",2012.0,407.0,231.0,
Witch Way to Turn,Karen Y. Bynum,3.9,98,36.0,"Paranormal, Young Adult, Romance, Fantasy, Supernatural, Magic, Vampires",2012.0,244.0,1.0,
"Captured (The Captive, #1)",Erica Stevens,4.02,21495,,"Vampires, Paranormal, Romance, Fantasy, Paranormal Romance, Young Adult, Dystopia",2012.0,168.0,2855.0,
"The Wretched of Muirwood (Legends of Muirwood, #1)",Jeff Wheeler,4.11,24819,1412.0,"Fantasy, Young Adult, Fiction, Magic, Audiobook, Adventure, High Fantasy",2011.0,302.0,3976.0,
Reluctant Guardian,Melissa J. Cunningham,3.94,292,67.0,"Fantasy, Paranormal, Young Adult, Romance, Science Fiction, Ghosts",2013.0,,63.0,
Don't Breathe a Word,Holly Cupala,3.88,3272,384.0,"Young Adult, Contemporary, Romance, Abuse, Realistic Fiction, Fiction, Young Adult Contemporary",2012.0,299.0,40.0,
"Dust of My Wings (Dante's Circle, #1)",Carrie Ann Ryan,3.87,1995,,"Paranormal, Paranormal Romance, Romance, Angels, Fantasy, Magic, Audiobook",,,,
"Brownout - 666: A journey through sex, love and violence in the ultimate search",John Richard Spencer,4.38,500,25.0,"Fiction, Novels, Contemporary, Drama, Adult, Book Club, Action",2012.0,501.0,5.0,
"Numbers (Numbers, #1)",Rachel Ward,3.48,26464,2773.0,"Young Adult, Fantasy, Science Fiction, Paranormal, Fiction, Romance, Dystopia",2008.0,325.0,681.0,
"Awry (The Archers of Avalon, #2)",Chelsea Fine,4.17,11512,595.0,"Young Adult, Paranormal, Fantasy, Romance, Paranormal Romance, Supernatural, Magic",2010.0,495.0,76.0,
True Love Story,Willow Aster,4.02,22153,2191.0,"Romance, New Adult, Contemporary, Contemporary Romance, Second Chance, Music, College",,,,
"Savvy (Savvy, #1)",Ingrid Law,3.98,49607,4352.0,"Fantasy, Middle Grade, Young Adult, Fiction, Childrens, Adventure, Magic",2008.0,342.0,1065.0,
"Feral Sins (The Phoenix Pack, #1)",Suzanne Wright,3.98,63437,5057.0,"Paranormal, Romance, Paranormal Romance, Fantasy, Shapeshifters, Werewolves, Erotica",2012.0,429.0,6059.0,
"The Ninth Orphan (The Orphan Trilogy, #1)",James Morcan,3.57,946,170.0,"Thriller, Fiction, Mystery, Suspense, Spy Thriller, Mystery Thriller, Young Adult",2011.0,274.0,173.0,
"Haven (The Willows, #1)",Hope Collier,3.77,493,85.0,"Young Adult, Fantasy, Paranormal, Paranormal Romance, Mythology, Fiction, Romance",2011.0,327.0,27.0,
When We Collide,A.L. Jackson,4.07,9055,881.0,"Romance, New Adult, Contemporary, Contemporary Romance, Abuse, Second Chance, Young Adult",2012.0,216.0,508.0,
"Emerging Fates (Maggie Henning & the Realm, #2.5)",Lisa C. Morgan,4.67,24,10.0,,,,,
Home Sweet Sonoma (Home Sweet Home Trilogy Book 1),Georgia James,4.38,56,15.0,"Epic, Contemporary",2018.0,286.0,,1405.0
"The Mayfair Moon (The Darkwoods Trilogy, #1)",J.A. Redmerski,3.77,7432,560.0,"Paranormal, Young Adult, Werewolves, Romance, Fantasy, Paranormal Romance, Shapeshifters",2012.0,356.0,278.0,
"Once a Princess (Cardinia's Royal Family, #1)",Johanna Lindsey,4.09,12426,477.0,"Historical Romance, Romance, Historical, Historical Fiction, Fiction, Royalty, Adult",1991.0,432.0,448.0,
"Awakening (The Watchers, #1)",Karice Bolton,3.69,6562,496.0,"Paranormal, Fantasy, Young Adult, Romance, Angels, Paranormal Romance, Fiction",2011.0,312.0,506.0,
Dragons in the Clouds,David Blair,4.4,194,,"Fantasy, Epic, Book Club, Summer",2018.0,,,
Perigee Moon,Tara A. Fuller,3.94,195,,,,,,
Sticks and Stones,Veronica Lovejoy,3.48,86,7.0,"New Adult, Romance",2012.0,280.0,3.0,
"You Belong to Me (Cardinia's Royal Family, #2)",Johanna Lindsey,4.07,8749,324.0,"Historical Romance, Romance, Historical, Historical Fiction, Enemies To Lovers, Fiction, Adult",1994.0,422.0,337.0,
"Glamorous Illusions (Grand Tour, #1)",Lisa Tawn Bergren,3.85,4076,574.0,"Historical Fiction, Christian Fiction, Romance, Historical, Christian, Fiction, Historical Romance",2012.0,413.0,207.0,
Rift Healer,Diane M. Haynes,4.41,103,53.0,"Fantasy, Young Adult",2012.0,306.0,3.0,
October Breezes (October Breezes #1),Maria Rachel Hooley,3.68,2002,125.0,"Young Adult, Romance, Contemporary, Abuse, Young Adult Romance, High School, New Adult",2009.0,262.0,18.0,
"Devoured (Devoured, #1)",Emily Snow,3.93,36512,1814.0,"Romance, New Adult, Contemporary, Contemporary Romance, Erotica, Adult, Music",2012.0,202.0,316.0,
"Altered (Altered, #1)",Jennifer Rush,4.01,19927,2264.0,"Young Adult, Science Fiction, Romance, Fantasy, Paranormal, Dystopia, Mystery",,,,
"Grave Surprise (Harper Connelly, #2)",Charlaine Harris,3.91,38051,1519.0,"Mystery, Paranormal, Fantasy, Urban Fantasy, Fiction, Supernatural, Crime",2006.0,295.0,541.0,
"Futures and Frosting (Chocolate Lovers, #2)",Tara Sivec,4.26,24990,1860.0,"Romance, Humor, Contemporary, Contemporary Romance, Chick Lit, Adult, Comedy",2012.0,224.0,349.0,
"WitchLove (Witchblood, #3)",Emma Mills,4.19,619,39.0,"Vampires, Paranormal, Witches, Young Adult, Fantasy, Romance, Angels",2013.0,286.0,13.0,
"Incendiary (The Premonition, #4)",Amy A. Bartol,4.4,18917,906.0,"Angels, Paranormal, Fantasy, Romance, Young Adult, Paranormal Romance, New Adult",2012.0,460.0,624.0,
"Africa's Child (Dancing Soul Trilogy, #1)",Maria Nhambu,4.3,4008,26.0,"Fiction, Africa, Contemporary, Book Club, Race, Epic, Historical Fiction",2016.0,356.0,29.0,
"Croak (Croak, #1)",Gina Damico,3.92,11103,1520.0,"Young Adult, Fantasy, Paranormal, Urban Fantasy, Supernatural, Mystery, Humor",2012.0,311.0,306.0,
Pulled,Amy Lichtenhan,3.93,9435,912.0,"Romance, Contemporary Romance, Contemporary, New Adult, Abuse, Second Chance, Emotional",2011.0,388.0,1668.0,
All the Broken Pieces,Cindi Madsen,3.87,892,,"Young Adult, Contemporary, Romance, Mystery, Realistic Fiction, Suspense, Fiction",2012.0,304.0,,
"Keeping Never (Tasting Never, #3)",C.M. Stunich,4.08,3904,295.0,"New Adult, Romance, Contemporary Romance, College, Contemporary, Abuse, Dark",2013.0,153.0,121.0,
"Rock Chick Rescue (Rock Chick, #2)",Kristen Ashley,4.29,38695,2380.0,"Romance, Contemporary Romance, Contemporary, Romantic Suspense, Humor, Chick Lit, Suspense",2009.0,517.0,1158.0,
"Finding Never (Tasting Never, #2)",C.M. Stunich,4.12,4667,301.0,"New Adult, Romance, Contemporary Romance, College, Contemporary, Abuse, Young Adult",2013.0,206.0,211.0,
"Surviving ELE (ELE, #4)",Rebecca Gober,4.23,612,41.0,"Dystopia, Young Adult, Romance, Science Fiction, Fantasy, Paranormal",2013.0,,62.0,
"On Every Street (The Artists Trilogy, #0.5)",Karina Halle,4.25,11258,,"Romance, Contemporary, New Adult, Dark, Contemporary Romance, Adult, Novella",2013.0,263.0,110.0,
"The Dex-Files (Experiment in Terror, #5.6)",Karina Halle,4.47,4409,505.0,"Paranormal, Horror, Romance, Ghosts, Novella, Paranormal Romance, New Adult",2012.0,139.0,67.0,
"What a Boy Needs (What a Boy Wants, #2)",Nyrae Dawn,3.86,3982,362.0,"Young Adult, Romance, Contemporary, New Adult, Contemporary Romance, High School, Young Adult Romance",2012.0,124.0,38.0,
"The Fall of the Phoenix (Heroes of Troy, #1)",Daniel Kelly,4.4,298,65.0,"Historical Fiction, Fantasy, Fiction, Book Club, Historical, Greek Mythology, Retellings",2018.0,244.0,20.0,
"Matching Configurations (Quantum Roots, #3)",Kyle Keyes,4.3,6792,35.0,"Fiction, Novels, Science Fiction, Young Adult, Space Opera, Space, Teen",2019.0,296.0,4.0,
Keep Holding On,Susane Colasanti,3.84,12494,990.0,"Young Adult, Romance, Contemporary, Realistic Fiction, High School, Abuse, Young Adult Contemporary",2012.0,202.0,204.0,
"Tasting Never (Tasting Never, #1)",C.M. Stunich,3.85,7624,550.0,"New Adult, Romance, College, Contemporary, Contemporary Romance, Young Adult, Dark",2012.0,176.0,474.0,
"Romero (The Moreno Brothers, #4)",Elizabeth Reyes,4.12,7329,325.0,"Romance, New Adult, Contemporary, Contemporary Romance, Young Adult, Adult, Chick Lit",2011.0,338.0,147.0,
Mistress Suffragette,Diana Forbes,4.29,4571,105.0,"Historical Fiction, Fiction, New Adult, Historical, Romance, Adult, Young Adult",2017.0,320.0,32.0,
"Hollowmen (The Hollows, #2)",Amanda Hocking,3.97,8696,616.0,"Zombies, Young Adult, Dystopia, Horror, Paranormal, Fantasy, Post Apocalyptic",2011.0,194.0,119.0,
"Double Cross (The Disillusionists, #2)",Carolyn Crane,3.94,4355,479.0,"Urban Fantasy, Fantasy, Paranormal, Romance, Paranormal Romance, Adult, Magic",2010.0,326.0,25.0,
"Masques (Sianim, #1 / Aralorn, #1)",Patricia Briggs,3.92,12363,,"Fantasy, Magic, Romance, Paranormal, Fiction, Urban Fantasy, High Fantasy",1993.0,199.0,779.0,
"My Boyfriend Merlin (My Merlin, #1)",Priya Ardis,3.55,2202,287.0,"Fantasy, Young Adult, Romance, Mythology, Magic, Paranormal, Arthurian",2011.0,305.0,202.0,
A Fitting End (A Magical Dressmaking Mystery #2),Melissa Bourbon,4.1,1363,,,,,,
"Brightest Kind of Darkness (Brightest Kind of Darkness, #1)",P.T. Michelle,3.91,7070,700.0,"Young Adult, Paranormal, Fantasy, Romance, Paranormal Romance, Urban Fantasy, Supernatural",2011.0,357.0,926.0,
"Exposing ELE (ELE, #3)",Rebecca Gober,4.19,774,,"Young Adult, Dystopia, Romance, Fantasy, Paranormal, Science Fiction",2012.0,186.0,59.0,
Brightly Woven,Alexandra Bracken,3.8,9023,,"Fantasy, Young Adult, Romance, Magic, Adventure, High Fantasy, Young Adult Fantasy",2010.0,357.0,71.0,
"Bare-Naked Lola (Lola Cruz Mystery, #3)",Melissa Bourbon,4.05,235,50.0,"Mystery, Fiction, Cozy Mystery, Romance, Contemporary, Chick Lit",2012.0,352.0,61.0,
"Avenge (Patronus, #2)",Sarah M. Ross,4.13,185,26.0,"Paranormal, Fantasy, Suspense, Romance",2012.0,250.0,20.0,
"If I Should Die (Revenants, #3)",Amy Plum,4.19,18623,1552.0,"Young Adult, Fantasy, Paranormal, Romance, Paranormal Romance, Supernatural, Zombies",2013.0,405.0,176.0,
"Mind Games (The Disillusionists, #1)",Carolyn Crane,3.49,8516,,"Urban Fantasy, Fantasy, Paranormal, Romance, Paranormal Romance, Adult, Fiction",2010.0,371.0,132.0,
"Accidentally on Purpose (Accidentally on Purpose, #1)",L.D. Davis,3.93,18083,1269.0,"Romance, Contemporary Romance, Contemporary, New Adult, Abuse, Adult, Erotica",2012.0,346.0,541.0,
"Double Clutch (Brenna Blixen, #1)",Liz Reinhardt,3.72,6778,436.0,"Young Adult, Romance, Contemporary, New Adult, High School, Chick Lit, Contemporary Romance",2011.0,267.0,60.0,
Lingus,Mariana Zapata,3.77,30838,3191.0,"Romance, Contemporary, Slow Burn, Friends To Lovers, Contemporary Romance, Audiobook, Humor",2012.0,377.0,1257.0,
"Awakening (The Shard Chronicles, #1)",Ono Northey,4.24,42,21.0,,,,,
"Love Irresistibly (FBI/US Attorney, #4)",Julie James,4.09,19198,1313.0,"Romance, Contemporary Romance, Contemporary, Chick Lit, Adult, Romantic Suspense, Fiction",2013.0,274.0,305.0,
Flying Solo: an unconventional aviatrix navigates turbulence in life,Jeanette Vaughan,4.15,54,21.0,Romance,2012.0,308.0,4.0,
"Edenbrooke (Edenbrooke, #1)",Julianne Donaldson,4.33,61216,11342.0,"Romance, Historical Fiction, Historical Romance, Historical, Fiction, Regency, Book Club",,,,
[sic],Scott Kelly,3.88,352,74.0,"Young Adult, Mystery, Fiction, Thriller, Crime, Teen, Contemporary",2012.0,208.0,36.0,
Water Witch (Elemental Magic #1),Thea Atkinson,3.48,518,,,,,,
"Foster Fox (A 10,000 Lakes Tale)",William D. Writer,4.19,36,4.0,Animals,2012.0,40.0,3.0,
"Cassie Palmer Series (Cassandra Palmer, #1-4)",Karen Chance,4.41,666,18.0,"Urban Fantasy, Paranormal, Fantasy, Paranormal Romance, Romance, Magic, Vampires",2009.0,1304.0,24.0,
Winter Fairy,Lola Karns,3.95,75,24.0,"Romance, Christmas, Contemporary Romance, Chick Lit",2012.0,200.0,2.0,
The Screaming Codpiece,R.L. McSterlingthong,3.76,29,7.0,"Fantasy, Humor, Science Fiction Fantasy",2013.0,108.0,1.0,
"Patch Up (Patch Up, #1)",Stephanie Witter,3.8,1743,241.0,"New Adult, Romance, Abuse, College, Contemporary, College Romance, Contemporary Romance",2013.0,296.0,24.0,
"The Slayer and the Sphinx (The Slayer and the Sphinx, #1)",Adam Bolander,3.82,57,35.0,"Fantasy, Young Adult, Paranormal, Adventure",2012.0,130.0,1.0,
"The Garnet Dagger (Legends of Oblivion, #1)",Andrea R. Cooper,3.8,112,69.0,"Fantasy, Vampires, Magic, Romance, Paranormal",2013.0,222.0,5.0,
"An Accidental Affair (Liliana Batchelor, #1)",Holly Blackstone,3.86,534,42.0,"Erotica, Romance, BDSM, Contemporary Romance, Chick Lit",2013.0,,219.0,
"Fate (Sacrifice, #1)",A.C. Heller,3.7,168,26.0,"Romance, Paranormal, Fantasy, Paranormal Romance, Angels",2013.0,167.0,15.0,
"Mirage (Destined, #1)",Ashley Suzanne,3.96,2574,429.0,"Romance, New Adult, Contemporary Romance, College, Contemporary, Amazon, Friends To Lovers",2013.0,206.0,230.0,
"Island of Fog (Island of Fog, #1)",Keith Robinson,4.13,1536,136.0,"Fantasy, Young Adult, Middle Grade, Fiction, Childrens, Adventure, Amazon",2009.0,224.0,652.0,
Shadow Of A Falling Women Thrill Romance Story Book1,Ahmed Alsamanoudi,5.0,3,0.0,,,,,
Collide (Collide #1),Ashley Stambaugh,3.54,72,18.0,"Fantasy, Young Adult, Paranormal, Fiction, Angels",2014.0,255.0,7.0,
S.,J.J. Abrams,3.85,28395,4745.0,"Fiction, Mystery, Fantasy, Thriller, Romance, Mystery Thriller, Books About Books",2013.0,469.0,8716.0,
Angel,Cliff McNish,3.41,1124,128.0,"Angels, Fantasy, Young Adult, Paranormal, Fiction, Childrens, Urban Fantasy",2007.0,311.0,16.0,
High School Society of One,Antranig Dereyan,3.92,36,8.0,,,,,
"A Week in New York (The Empire State Trilogy, #1)",Louise Bay,3.98,8647,713.0,"Romance, Contemporary Romance, Contemporary, Audiobook, Erotica, Novella, Adult",2014.0,122.0,787.0,
"Life (Citizens of Logan Pond, #1)",Rebecca Belliston,4.08,302,86.0,"Dystopia, Romance, New Adult, Young Adult, Clean Romance, Lds Fiction, Contemporary",2014.0,367.0,124.0,
Werewolf Nights,Mari Hamill,4.01,231,85.0,"Fantasy, Romance, Urban Fantasy, Fiction, Horror, Paranormal, Adult",2014.0,216.0,32.0,
The Love Story That Shouldn't Have Been,Atzi Luna,3.9,115,6.0,"Romance, Mental Health, Young Adult, Fiction, Contemporary",2014.0,233.0,24.0,
"Number of the Beast (Paladin Cycle, #1)",Max Redford,3.57,74,36.0,"Fantasy, Paranormal, Horror",2014.0,288.0,47.0,
Moondance: Book one,Desiree King,3.84,51,16.0,"Romance, Witches",2015.0,186.0,4.0,
"Amanda Lester and the Pink Sugar Conspiracy (Amanda Lester, Detective, #1)",Paula Berinstein,4.04,159,63.0,"Mystery, Middle Grade, Fantasy, Young Adult, Crime, Fiction, Childrens",2015.0,386.0,92.0,
Finding Elizabeth,Taylor Fenner,3.72,18,10.0,"Fantasy, Young Adult, Paranormal",2015.0,356.0,,610.0
"Linger (Masked Emotions, #1)",V.E. Campudoni,3.8,191,65.0,"BDSM, Erotica, Contemporary Romance, Romance, Friends To Lovers",2016.0,262.0,,
"Oak and Mistletoe (The Rituals Trilogy, #1)",J.Z.N. McCauley,3.65,100,67.0,"Fantasy, Romance, Magic, Young Adult",,254.0,8.0,
"Delinquents (Dusty, #2)",Mary Elizabeth,4.12,2658,451.0,"Romance, New Adult, Young Adult, Contemporary, High School, Dark, Emotional",2014.0,309.0,108.0,
23:27,H.L. Roberts,3.94,110,67.0,"Young Adult, Contemporary",2017.0,284.0,10.0,
"Four Doors Down (Becca McKenzie, #1)",Emma Doherty,3.79,8021,562.0,"Romance, Young Adult, High School, Contemporary, Enemies To Lovers, Friends To Lovers, Sports",2016.0,226.0,948.0,
Equations of a Being: A being who gathered moss,Ashutosh Gupta,4.0,44,33.0,"Nonfiction, Poetry",2017.0,170.0,,97.0
The Renaissance Club,Rachel Dacus,4.13,136,40.0,"Time Travel, Romance, Fantasy, Historical Fiction, Historical Romance, Italy",2018.0,,148.0,
Out Of Nowhere,Claire Whitmore,4.17,18,3.0,,,,,
Dangerous Alliance: An Austentacious Romance,Jennieke Cohen,3.66,7319,1314.0,"Historical Fiction, Romance, Young Adult, Historical, Mystery, Fiction, Historical Romance",2019.0,429.0,317.0,
Untitled Document: The Mystery Unfolds,Sufyan Sher,4.18,11,4.0,,,,,
Black Water Magic,Leslie Scott,4.23,39,19.0,"Urban Fantasy, Fantasy",,212.0,16.0,
The Ballad of Dinah Caldwell,Kate Brauning,3.59,244,58.0,"Young Adult, LGBT, Contemporary, Thriller, Lesbian, Fantasy, Polyamory",2021.0,368.0,10.0,
Heathen's Barrow: My Evil,Nash Nelson,4.58,67,60.0,,,,,
"Tug of War (Bloodlines, #1)",K. Larsen,3.73,733,108.0,"Romance, Contemporary, Contemporary Romance, Fiction, Erotica, Mystery, Drama",2013.0,250.0,103.0,
"Bound and Unbroken (Out of Bounds, #1)",Skye Callahan,3.87,240,83.0,"BDSM, Erotica, Romance, Contemporary, Contemporary Romance, Erotic Romance, Dark Romance",2014.0,,15.0,
"A Dark & Stormy Knight (A McKnight Romance, #3)",Suzie Quint,4.19,103,29.0,"Westerns, Romance, Contemporary Romance, Contemporary, Fiction, Western Romance",2014.0,448.0,24.0,
The Calling,Ashley Lynn Willis,3.83,309,85.0,"Paranormal Romance, Paranormal, Romance, Fantasy, Contemporary Romance, Contemporary, Paranormal Urban Fantasy",2011.0,,8.0,
"Tall, Dark and Kilted",Lizzie Lamb,3.92,419,,,,,,
"Iron Lake (Cork O'Connor, #1)",William Kent Krueger,3.97,55389,4794.0,"Mystery, Fiction, Audiobook, Thriller, Mystery Thriller, Crime, Suspense",1998.0,464.0,7853.0,
